"","variable","value","QrtEstimate","Lower","Upper"
"217","Rep",-0.120838368453507,2,FALSE,FALSE
"218","Rep",-0.089597572121853,2,FALSE,FALSE
"219","Rep",-0.150385409682702,2,FALSE,FALSE
"220","Rep",-0.107044217900705,2,FALSE,FALSE
"221","Rep",-0.119828541251739,2,FALSE,FALSE
"222","Rep",-0.120810663237893,2,FALSE,FALSE
"223","Rep",-0.134228377857532,2,FALSE,FALSE
"224","Rep",-0.11922642918895,2,FALSE,FALSE
"225","Rep",-0.125425637311236,2,FALSE,FALSE
"226","Rep",-0.129132600646798,2,FALSE,FALSE
"227","Rep",-0.137550782725514,2,FALSE,FALSE
"229","Rep",-0.152009364512912,2,FALSE,FALSE
"230","Rep",-0.11791806692265,2,FALSE,FALSE
"231","Rep",-0.14602635566132,2,FALSE,FALSE
"232","Rep",-0.10067665311928,2,FALSE,FALSE
"233","Rep",-0.131877585730568,2,FALSE,FALSE
"234","Rep",-0.135355470459557,2,FALSE,FALSE
"235","Rep",-0.104242975296153,2,FALSE,FALSE
"236","Rep",-0.147287426999494,2,FALSE,FALSE
"237","Rep",-0.13304606465587,2,FALSE,FALSE
"238","Rep",-0.10989838521761,2,FALSE,FALSE
"239","Rep",-0.115131783473145,2,FALSE,FALSE
"240","Rep",-0.0974518034220083,2,FALSE,FALSE
"241","Rep",-0.110698139446957,2,FALSE,FALSE
"242","Rep",-0.121755298090393,2,FALSE,FALSE
"243","Rep",-0.124584564187534,2,FALSE,FALSE
"244","Rep",-0.102067320169383,2,FALSE,FALSE
"245","Rep",-0.126827764919287,2,FALSE,FALSE
"246","Rep",-0.156290532702575,2,FALSE,FALSE
"247","Rep",-0.142462719251874,2,FALSE,FALSE
"249","Rep",-0.150673319426399,2,FALSE,FALSE
"250","Rep",-0.0934164786146772,2,FALSE,FALSE
"251","Rep",-0.122825044446687,2,FALSE,FALSE
"252","Rep",-0.145969496939565,2,FALSE,FALSE
"253","Rep",-0.0953727849486324,2,FALSE,FALSE
"255","Rep",-0.0952105479951692,2,FALSE,FALSE
"256","Rep",-0.100441014419335,2,FALSE,FALSE
"257","Rep",-0.128875369230389,2,FALSE,FALSE
"258","Rep",-0.125943608929809,2,FALSE,FALSE
"259","Rep",-0.137501943301726,2,FALSE,FALSE
"261","Rep",-0.133817664237001,2,FALSE,FALSE
"262","Rep",-0.117635734267201,2,FALSE,FALSE
"263","Rep",-0.141510000286138,2,FALSE,FALSE
"264","Rep",-0.155596747602587,2,FALSE,FALSE
"265","Rep",-0.103185381093239,2,FALSE,FALSE
"266","Rep",-0.0914080181916433,2,FALSE,FALSE
"267","Rep",-0.117511439182171,2,FALSE,FALSE
"268","Rep",-0.112051533618943,2,FALSE,FALSE
"269","Rep",-0.126667957572309,2,FALSE,FALSE
"270","Rep",-0.105376782751215,2,FALSE,FALSE
"271","Rep",-0.0951460326802741,2,FALSE,FALSE
"272","Rep",-0.158433762154259,2,FALSE,FALSE
"273","Rep",-0.106819047769458,2,FALSE,FALSE
"274","Rep",-0.106266103563484,2,FALSE,FALSE
"275","Rep",-0.109589430126752,2,FALSE,FALSE
"276","Rep",-0.123517391521029,2,FALSE,FALSE
"277","Rep",-0.138716229895739,2,FALSE,FALSE
"278","Rep",-0.123254741915807,2,FALSE,FALSE
"279","Rep",-0.121066099974775,2,FALSE,FALSE
"280","Rep",-0.126835760485103,2,FALSE,FALSE
"281","Rep",-0.144951943170931,2,FALSE,FALSE
"282","Rep",-0.138582230020864,2,FALSE,FALSE
"283","Rep",-0.111767255860284,2,FALSE,FALSE
"284","Rep",-0.126326058383146,2,FALSE,FALSE
"285","Rep",-0.149912369109706,2,FALSE,FALSE
"286","Rep",-0.152889190612269,2,FALSE,FALSE
"287","Rep",-0.124809151926918,2,FALSE,FALSE
"288","Rep",-0.13170116423724,2,FALSE,FALSE
"289","Rep",-0.130716097088542,2,FALSE,FALSE
"290","Rep",-0.109275762538289,2,FALSE,FALSE
"291","Rep",-0.108313456863449,2,FALSE,FALSE
"292","Rep",-0.104427292796579,2,FALSE,FALSE
"293","Rep",-0.124747294209088,2,FALSE,FALSE
"294","Rep",-0.114326078317741,2,FALSE,FALSE
"295","Rep",-0.123103885851439,2,FALSE,FALSE
"296","Rep",-0.106819273493667,2,FALSE,FALSE
"297","Rep",-0.145742955433099,2,FALSE,FALSE
"298","Rep",-0.151258353773356,2,FALSE,FALSE
"299","Rep",-0.132663835368806,2,FALSE,FALSE
"300","Rep",-0.12674639117438,2,FALSE,FALSE
"301","Rep",-0.112715820517247,2,FALSE,FALSE
"302","Rep",-0.13127443161629,2,FALSE,FALSE
"303","Rep",-0.12147649182847,2,FALSE,FALSE
"304","Rep",-0.133207745819692,2,FALSE,FALSE
"305","Rep",-0.136397325739245,2,FALSE,FALSE
"306","Rep",-0.128981690051707,2,FALSE,FALSE
"307","Rep",-0.0917656880412431,2,FALSE,FALSE
"308","Rep",-0.108549785184934,2,FALSE,FALSE
"309","Rep",-0.113387249306745,2,FALSE,FALSE
"310","Rep",-0.127466271237647,2,FALSE,FALSE
"311","Rep",-0.115567286443432,2,FALSE,FALSE
"312","Rep",-0.0883038424750398,2,FALSE,FALSE
"314","Rep",-0.160882678814349,2,FALSE,FALSE
"315","Rep",-0.160377141376305,2,FALSE,FALSE
"316","Rep",-0.128288228202414,2,FALSE,FALSE
"317","Rep",-0.111560668822197,2,FALSE,FALSE
"318","Rep",-0.120310721836497,2,FALSE,FALSE
"319","Rep",-0.115029386687801,2,FALSE,FALSE
"321","Rep",-0.1435512217738,2,FALSE,FALSE
"323","Rep",-0.104339372218563,2,FALSE,FALSE
"324","Rep",-0.131555114779161,2,FALSE,FALSE
"325","Rep",-0.120167089709093,2,FALSE,FALSE
"326","Rep",-0.149125993481115,2,FALSE,FALSE
"327","Rep",-0.135741716590834,2,FALSE,FALSE
"328","Rep",-0.120365339444436,2,FALSE,FALSE
"329","Rep",-0.0959630670159184,2,FALSE,FALSE
"330","Rep",-0.110593778383155,2,FALSE,FALSE
"331","Rep",-0.134765749556023,2,FALSE,FALSE
"332","Rep",-0.114560364962502,2,FALSE,FALSE
"333","Rep",-0.111366383022642,2,FALSE,FALSE
"334","Rep",-0.112171617673572,2,FALSE,FALSE
"335","Rep",-0.102166565596407,2,FALSE,FALSE
"336","Rep",-0.159455857516079,2,FALSE,FALSE
"337","Rep",-0.112775700784601,2,FALSE,FALSE
"338","Rep",-0.124515995262701,2,FALSE,FALSE
"339","Rep",-0.126752257456441,2,FALSE,FALSE
"340","Rep",-0.103133925602936,2,FALSE,FALSE
"341","Rep",-0.102880802423735,2,FALSE,FALSE
"342","Rep",-0.101977543331337,2,FALSE,FALSE
"343","Rep",-0.0991391038312381,2,FALSE,FALSE
"344","Rep",-0.136252457929427,2,FALSE,FALSE
"345","Rep",-0.102980498322262,2,FALSE,FALSE
"346","Rep",-0.116334056887617,2,FALSE,FALSE
"348","Rep",-0.104316719425005,2,FALSE,FALSE
"349","Rep",-0.118943033050309,2,FALSE,FALSE
"350","Rep",-0.128882463106662,2,FALSE,FALSE
"351","Rep",-0.133206114981158,2,FALSE,FALSE
"352","Rep",-0.0970217436675433,2,FALSE,FALSE
"353","Rep",-0.128647963054358,2,FALSE,FALSE
"354","Rep",-0.128176061482375,2,FALSE,FALSE
"355","Rep",-0.115791567903433,2,FALSE,FALSE
"357","Rep",-0.0908767838633071,2,FALSE,FALSE
"358","Rep",-0.156584757849061,2,FALSE,FALSE
"359","Rep",-0.121417191463051,2,FALSE,FALSE
"360","Rep",-0.13174846724045,2,FALSE,FALSE
"361","Rep",-0.121834829728071,2,FALSE,FALSE
"362","Rep",-0.141758444860812,2,FALSE,FALSE
"363","Rep",-0.106962240552556,2,FALSE,FALSE
"364","Rep",-0.122076715960976,2,FALSE,FALSE
"365","Rep",-0.0945367690350543,2,FALSE,FALSE
"366","Rep",-0.113437767111368,2,FALSE,FALSE
"367","Rep",-0.0947120988890666,2,FALSE,FALSE
"368","Rep",-0.135235501346752,2,FALSE,FALSE
"369","Rep",-0.130292608402328,2,FALSE,FALSE
"370","Rep",-0.120780368113955,2,FALSE,FALSE
"371","Rep",-0.146859138377477,2,FALSE,FALSE
"373","Rep",-0.126412502812559,2,FALSE,FALSE
"374","Rep",-0.0955769793479791,2,FALSE,FALSE
"375","Rep",-0.110507049898393,2,FALSE,FALSE
"376","Rep",-0.131694208847601,2,FALSE,FALSE
"377","Rep",-0.0918575979497404,2,FALSE,FALSE
"378","Rep",-0.0824634395643919,2,FALSE,FALSE
"379","Rep",-0.146980800246698,2,FALSE,FALSE
"380","Rep",-0.0929870736620609,2,FALSE,FALSE
"381","Rep",-0.148312251287298,2,FALSE,FALSE
"382","Rep",-0.113126725152437,2,FALSE,FALSE
"383","Rep",-0.131287624727982,2,FALSE,FALSE
"384","Rep",-0.109553763530341,2,FALSE,FALSE
"385","Rep",-0.129765569313255,2,FALSE,FALSE
"386","Rep",-0.138181917993033,2,FALSE,FALSE
"387","Rep",-0.105805066050379,2,FALSE,FALSE
"388","Rep",-0.0939185217344193,2,FALSE,FALSE
"389","Rep",-0.131260792068739,2,FALSE,FALSE
"390","Rep",-0.128509454601303,2,FALSE,FALSE
"391","Rep",-0.119536913437031,2,FALSE,FALSE
"392","Rep",-0.122748503986738,2,FALSE,FALSE
"393","Rep",-0.0896374507562611,2,FALSE,FALSE
"394","Rep",-0.153646663961418,2,FALSE,FALSE
"395","Rep",-0.160788235999344,2,FALSE,FALSE
"396","Rep",-0.125650655441984,2,FALSE,FALSE
"397","Rep",-0.139206318162465,2,FALSE,FALSE
"399","Rep",-0.145902506941409,2,FALSE,FALSE
"400","Rep",-0.132223239732742,2,FALSE,FALSE
"401","Rep",-0.0880871520753425,2,FALSE,FALSE
"402","Rep",-0.142302088223248,2,FALSE,FALSE
"403","Rep",-0.129818991809904,2,FALSE,FALSE
"404","Rep",-0.105511324824451,2,FALSE,FALSE
"405","Rep",-0.150504565113249,2,FALSE,FALSE
"406","Rep",-0.123929936220125,2,FALSE,FALSE
"407","Rep",-0.141747882876642,2,FALSE,FALSE
"408","Rep",-0.104930408339873,2,FALSE,FALSE
"409","Rep",-0.104676611320638,2,FALSE,FALSE
"410","Rep",-0.120889378033699,2,FALSE,FALSE
"411","Rep",-0.10500688864495,2,FALSE,FALSE
"412","Rep",-0.130270553426537,2,FALSE,FALSE
"413","Rep",-0.108468725260238,2,FALSE,FALSE
"414","Rep",-0.155845749199492,2,FALSE,FALSE
"415","Rep",-0.130649641051962,2,FALSE,FALSE
"416","Rep",-0.124412021765978,2,FALSE,FALSE
"417","Rep",-0.107042648161628,2,FALSE,FALSE
"418","Rep",-0.125149831066956,2,FALSE,FALSE
"419","Rep",-0.122029357500483,2,FALSE,FALSE
"420","Rep",-0.0960328722092165,2,FALSE,FALSE
"423","Rep",-0.107487135568998,2,FALSE,FALSE
"424","Rep",-0.133116133695357,2,FALSE,FALSE
"425","Rep",-0.128807873033962,2,FALSE,FALSE
"426","Rep",-0.137193115619867,2,FALSE,FALSE
"428","Rep",-0.14564326457565,2,FALSE,FALSE
"429","Rep",-0.118046237602954,2,FALSE,FALSE
"430","Rep",-0.11184017017917,2,FALSE,FALSE
"431","Rep",-0.117177370551059,2,FALSE,FALSE
"432","Rep",-0.110539674784312,2,FALSE,FALSE
"433","Rep",-0.109436836894455,2,FALSE,FALSE
"434","Rep",-0.111620685635768,2,FALSE,FALSE
"436","Rep",-0.129372888283268,2,FALSE,FALSE
"437","Rep",-0.147040342899339,2,FALSE,FALSE
"438","Rep",-0.159655831881443,2,FALSE,FALSE
"439","Rep",-0.109216741703477,2,FALSE,FALSE
"440","Rep",-0.102326466799791,2,FALSE,FALSE
"441","Rep",-0.143624570986702,2,FALSE,FALSE
"442","Rep",-0.132309672374291,2,FALSE,FALSE
"443","Rep",-0.122500184097534,2,FALSE,FALSE
"444","Rep",-0.136868909266346,2,FALSE,FALSE
"445","Rep",-0.140682635654844,2,FALSE,FALSE
"446","Rep",-0.114808427423112,2,FALSE,FALSE
"447","Rep",-0.147394570687697,2,FALSE,FALSE
"448","Rep",-0.0983818526229475,2,FALSE,FALSE
"449","Rep",-0.0904631057028089,2,FALSE,FALSE
"450","Rep",-0.109366990202178,2,FALSE,FALSE
"451","Rep",-0.122917783734269,2,FALSE,FALSE
"452","Rep",-0.149102171200927,2,FALSE,FALSE
"453","Rep",-0.111961432192565,2,FALSE,FALSE
"454","Rep",-0.147757151332562,2,FALSE,FALSE
"455","Rep",-0.1350304054215,2,FALSE,FALSE
"456","Rep",-0.125223080751463,2,FALSE,FALSE
"457","Rep",-0.112648836798064,2,FALSE,FALSE
"459","Rep",-0.122515294350561,2,FALSE,FALSE
